# 冻结股票池（factor engineering · universe）★ 一经冻结不要修改
# generated_at=2026-09-18 23:13:31
# 口径：主板 ∩ 至今存续 ∩ 从未ST(2016-08-09起) ∩ 上市日≤2018-01-01
# 只数=2115
#
# ⚠️ 代价（用户 2026-09-18 确认接受）：
#   1) 要求『至今存续』→ 引入幸存者偏差（回测收益会被系统性高估）；
#   2) 『从未ST』是事后判据（2019 年 ST 过的票，其 2012–2018 数据也一并剔除）；
#   3) ST 判据 = stock_st_info（type='ST'，官方口径）；
#      ⚠️ 其覆盖只到 2016-08-09 ⇒ 完整含义是『2016-08-09 以来从未 ST』。
#      ⚠️ 不可改用 stock_daily 的 stock_name —— 厂商已把历史名称改成当前名。
#
# ★ 内容哈希会进 fea/engine.py 的 universe_fp：改它 = 触发全部因子全量重建。
#   重新生成：python scripts/build_frozen_universe.py --force
#
# stock_code	list_date	delist_date
000001.SZ	1991-04-03	
000002.SZ	1991-01-29	
000006.SZ	1992-04-27	
000008.SZ	1992-05-07	
000009.SZ	1991-06-25	
000011.SZ	1992-03-30	
000012.SZ	1992-02-28	
000014.SZ	1992-06-02	
000019.SZ	1992-10-12	
000020.SZ	1992-04-28	
000021.SZ	1994-02-02	
000025.SZ	1993-06-21	
000026.SZ	1993-06-03	
000027.SZ	1993-09-03	
000028.SZ	1993-08-09	
000029.SZ	1993-09-15	
000030.SZ	1993-09-29	
000031.SZ	1993-10-08	
000032.SZ	1993-10-28	
000034.SZ	1994-05-09	
000035.SZ	1994-04-08	
000036.SZ	1994-06-17	
000039.SZ	1994-04-08	
000042.SZ	1994-09-21	
000045.SZ	1994-08-15	
000049.SZ	1995-03-20	
000050.SZ	1995-03-15	
000055.SZ	1996-04-15	
000058.SZ	1996-12-26	
000059.SZ	1997-01-30	
000060.SZ	1997-01-23	
000061.SZ	1997-01-10	
000062.SZ	1997-01-30	
000063.SZ	1997-11-18	
000065.SZ	1998-06-05	
000066.SZ	1997-06-26	
000068.SZ	1997-06-11	
000069.SZ	1997-09-10	
000088.SZ	1997-07-28	
000089.SZ	1998-04-20	
000090.SZ	1999-07-21	
000096.SZ	2000-07-24	
000099.SZ	2000-07-31	
000100.SZ	2004-01-30	
000151.SZ	2000-09-06	
000153.SZ	2000-09-20	
000156.SZ	2000-09-06	
000157.SZ	2000-10-12	
000158.SZ	2000-07-24	
000159.SZ	2000-09-26	
000166.SZ	2015-01-26	
000301.SZ	2000-05-29	
000333.SZ	2013-09-18	
000338.SZ	2007-04-30	
000400.SZ	1997-04-18	
000401.SZ	1996-06-14	
000402.SZ	1996-06-26	
000404.SZ	1996-06-19	
000407.SZ	1996-07-03	
000411.SZ	1996-07-16	
000415.SZ	1996-07-16	
000417.SZ	1996-08-12	
000419.SZ	1996-08-16	
000420.SZ	1996-08-02	
000421.SZ	1996-08-06	
000423.SZ	1996-07-29	
000425.SZ	1996-08-28	
000426.SZ	1996-08-28	
000428.SZ	1996-08-08	
000429.SZ	1998-02-20	
000498.SZ	1997-06-09	
000501.SZ	1992-11-20	
000503.SZ	1992-11-30	
000507.SZ	1993-03-26	
000510.SZ	1993-05-07	
000513.SZ	1993-10-28	
000514.SZ	1993-07-12	
000517.SZ	1993-08-06	
000519.SZ	1993-10-08	
000520.SZ	1993-10-25	
000521.SZ	1993-10-18	
000524.SZ	1993-11-18	
000528.SZ	1993-11-18	
000529.SZ	1993-11-18	
000530.SZ	1993-12-08	
000531.SZ	1994-01-06	
000532.SZ	1994-01-03	
000533.SZ	1994-01-03	
000534.SZ	1994-01-10	
000537.SZ	1993-12-10	
000538.SZ	1993-12-15	
000539.SZ	1993-11-26	
000541.SZ	1993-11-23	
000543.SZ	1993-12-20	
000544.SZ	1993-12-08	
