date,equity,cash,positions,blocked_exits
2025-07-02,100787.12941911,189.12941911000235,1,0
2025-07-03,103599.768737668,111.7687376679969,1,0
2025-07-04,99190.33924949399,311.33924949400534,1,0
2025-07-07,97536.76503909401,180.76503909401072,1,0
2025-07-08,98866.76503909401,180.76503909401072,1,0
2025-07-09,98068.76503909401,180.76503909401072,1,0
2025-07-10,98068.76503909401,180.76503909401072,1,0
2025-07-11,97802.76503909401,180.76503909401072,1,0
2025-07-14,97897.78148375404,41.781483754035435,1,0
2025-07-15,94839.63416941004,87.63416941004107,1,0
2025-07-16,93327.63416941004,87.63416941004107,1,0
2025-07-17,92791.63856087005,6.638560870051151,1,0
2025-07-18,91503.12320758606,1254.1232075860607,1,0
2025-07-21,92385.20831429007,200.20831429006648,1,0
2025-07-22,91753.95133163407,173.95133163407445,1,0
2025-07-23,91715.85494514607,78.85494514607126,1,0
2025-07-24,92828.85494514607,78.85494514607126,1,0
2025-07-25,91444.72587324609,128.7258732460905,1,0
2025-07-28,91664.83677470211,32.83677470209659,1,0
2025-07-29,94240.8367747021,32.83677470209659,1,0
2025-07-30,91664.83677470211,32.83677470209659,1,0
2025-07-31,87616.8367747021,32.83677470209659,1,0
2025-08-01,88934.59735948211,300.59735948211164,1,0
2025-08-04,88934.59735948211,300.59735948211164,1,0
2025-08-05,91118.59735948211,300.59735948211164,1,0
2025-08-06,90572.59735948211,300.59735948211164,1,0
2025-08-07,89328.2974501421,24.29745014209766,1,0
2025-08-08,94086.2974501421,24.29745014209766,1,0
2025-08-11,95179.0114262921,346.0114262920979,1,0
2025-08-12,93819.00067890012,529.00067890012,1,0
2025-08-13,94957.82550413211,271.8255041321099,1,0
2025-08-14,92505.79737017212,447.7973701721203,1,0
2025-08-15,92505.79737017212,447.7973701721203,1,0
2025-08-18,93024.18902187013,589.1890218701301,1,0
2025-08-19,95205.86162339812,390.8616233981156,1,0
2025-08-20,98296.69152517611,838.6915251761093,1,0
2025-08-21,99239.65505863212,57.655058632124565,1,0
2025-08-22,96889.35781389417,28.35781389415206,1,0
2025-08-25,96881.25190661817,1754.2519066181703,1,0
2025-08-26,97954.25190661817,1754.2519066181703,1,0
2025-08-27,95642.62992831417,1178.6299283141707,1,0
2025-08-28,95757.73245303417,765.7324530341721,1,0
2025-08-29,94358.9671738182,1340.9671738181933,1,0
2025-09-01,95062.8278249622,286.8278249621944,1,0
2025-09-02,95386.8907228342,156.89072283419955,1,0
2025-09-03,90192.7589849622,228.7589849622018,1,0
2025-09-04,99609.5951382182,433.59513821819564,1,0
2025-09-05,100785.17457205021,417.17457205020764,1,0
2025-09-08,110572.13389046221,7.13389046220982,1,0
2025-09-09,109951.19242545422,691.1924254542246,1,0
2025-09-10,110049.91604145423,513.9160414542275,1,0
2025-09-11,109974.86039805421,36.86039805422479,1,0
2025-09-12,110630.45092780622,542.4509278062324,1,0
2025-09-15,110192.33098971023,732.3309897102299,1,0
2025-09-16,107806.22747891025,1956.2274789102376,1,0
2025-09-17,107815.74619763825,85.74619763823284,1,0
2025-09-18,104665.74619763825,85.74619763823284,1,0
2025-09-19,105924.73457194622,252.73457194621733,1,0
2025-09-22,101478.94052117023,17.94052117022511,1,0
2025-09-23,102214.99416550621,1666.994165506214,1,0
2025-09-24,106301.63174422622,245.6317442262225,1,0
2025-09-25,105437.63174422622,245.6317442262225,1,0
2025-09-26,109973.63174422622,245.6317442262225,1,0
2025-09-29,110091.00683574224,191.0068357422424,1,0
2025-09-30,109226.18182604425,1272.1818260442524,1,0
2025-10-09,108225.99913232024,764.9991323202412,1,0
2025-10-10,107159.99913232024,764.9991323202412,1,0
2025-10-13,106093.99913232024,764.9991323202412,1,0
2025-10-14,105621.08653397222,51.08653397223679,1,0
2025-10-15,104856.08653397225,51.08653397223679,1,0
2025-10-16,102143.98101126024,327.98101126024267,1,0
2025-10-17,100826.62420674424,89.62420674423629,1,0
2025-10-20,102196.66736453224,196.6673645322444,1,0
2025-10-21,114458.10750350825,218.10750350824674,1,0
2025-10-22,118741.04637703624,301.0463770362403,1,0
2025-10-23,119986.35615855624,248.35615855622746,1,0
2025-10-24,118516.35342810424,496.35342810423754,1,0
2025-10-27,117256.35342810424,496.35342810423754,1,0
2025-10-28,118009.16644574626,45.16644574626116,1,0
2025-10-29,116973.3952831783,2199.395283178281,1,0
2025-10-30,115716.0099132203,50.00991322030313,1,0
2025-10-31,119163.0099132203,50.00991322030313,1,0
2025-11-03,119306.4730170323,586.4730170323019,1,0
2025-11-04,118555.02001385631,303.02001385630865,1,0
2025-11-05,119513.85662982431,569.856629824324,1,0
2025-11-06,119625.85662982434,569.856629824324,1,0
2025-11-07,129145.85662982432,569.856629824324,1,0
2025-11-10,132184.98256089631,584.9825608963292,1,0
2025-11-11,143930.19505825033,416.19505825034867,1,0
2025-11-12,153067.66255044437,514.6625504443655,1,0
2025-11-13,153993.06032299035,48.06032299034996,1,0
2025-11-14,158074.67955880638,142.67955880638328,1,0
2025-11-17,173254.64678020639,136.6467802063853,1,0
2025-11-18,163188.82880959043,36.828809590428136,1,0
2025-11-19,159510.06550437442,102.0655043744191,1,0
2025-11-20,158645.0579247464,218.0579247463902,1,0
2025-11-21,154112.4989409704,146.49894097042852,1,0
2025-11-24,156175.24556498046,591.2455649804615,1,0
2025-11-25,153553.74373162046,892.7437316204596,1,0
2025-11-26,170663.54209643442,204.542096434423,1,0
2025-11-27,170567.52698263442,79.52698263441562,1,0
2025-11-28,173833.62635265043,275.62635265043355,1,0
2025-12-01,173552.51811048444,47.518110484437784,1,0
2025-12-02,177621.96842620044,663.9684262004448,1,0
2025-12-03,176429.23059703043,212.23059703042964,1,0
2025-12-04,171446.23059703043,212.23059703042964,1,0
2025-12-05,174164.23059703043,212.23059703042964,1,0
2025-12-08,177169.08655961446,107.08655961445766,1,0
2025-12-09,173365.8780842745,391.87808427450364,1,0
2025-12-10,173356.8804974405,458.88049744049204,1,0
2025-12-11,179386.50375104253,412.5037510425318,1,0
2025-12-12,174742.05398651457,20.05398651456926,1,0
2025-12-15,176495.08343094258,865.0834309425845,1,0
2025-12-16,174167.7927212686,98.79272126860451,1,0
2025-12-17,174975.94601449266,175.9460144926561,1,0
2025-12-18,172951.94601449266,175.9460144926561,1,0
2025-12-19,173958.07973680666,57.079736806656,1,0
2025-12-22,171452.42359550664,424.4235955066397,1,0
2025-12-23,170228.98928170066,419.9892817006621,1,0
2025-12-24,171191.98928170066,419.9892817006621,1,0
2025-12-25,170915.3373737567,95.33737375668716,1,0
2025-12-26,181234.5164637947,40.5164637946873,1,0
2025-12-29,180943.1443763607,45.14437636069488,1,0
2025-12-30,181423.2320242647,174.23202426469652,1,0
2025-12-31,180368.23202426467,174.23202426469652,1,0
2026-01-05,179524.2320242647,174.23202426469652,1,0
2026-01-06,177625.9695626447,343.9695626446919,1,0
2026-01-07,175207.61430467275,307.61430467275204,1,0
2026-01-08,184726.51650908077,459.51650908077136,1,0
2026-01-09,188079.86572616873,159.8657261687622,1,0
2026-01-12,191967.8657261688,159.8657261687622,1,0
2026-01-13,188545.13490956882,145.13490956882015,1,0
2026-01-14,192560.64275264883,200.642752648826,1,0
2026-01-15,187678.78234320885,414.78234320884803,1,0
2026-01-16,185742.39558951286,878.3955895128602,1,0
2026-01-19,186378.39558951286,878.3955895128602,1,0
2026-01-20,182268.60257122287,22.60257122287294,1,0
2026-01-21,177990.95993559487,78.95993559487397,1,0
2026-01-22,176267.01124607486,552.0112460748642,1,0
2026-01-23,192861.92004182286,333.92004182285746,1,0
2026-01-26,199792.87561455686,362.8756145568623,1,0
2026-01-27,190180.89325121685,900.893251216854,1,0
2026-01-28,184867.2802399069,451.2802399068896,1,0
2026-01-29,178904.80747724688,364.8074772468826,1,0
2026-01-30,180306.65266565693,170.6526656569331,1,0
2026-02-02,181478.21261293694,1766.2126129369426,1,0
2026-02-03,189164.95596316093,224.95596316092997,1,0
2026-02-04,184635.65789331694,1075.6578933169367,1,0
2026-02-05,188410.48307801894,40.483078018936794,1,0
2026-02-06,182705.35228019892,305.35228019891656,1,0
2026-02-09,184826.83781053088,596.8378105308802,1,0
2026-02-10,183491.83781053088,596.8378105308802,1,0
2026-02-11,181758.82355776688,213.823557766882,1,0
2026-02-12,178344.85614456283,224.8561445628293,1,0
2026-02-13,175346.08866112283,258.0886611228343,1,0
2026-02-24,192954.08866112283,258.0886611228343,1,0
2026-02-25,199052.90841989883,236.90841989885666,1,0
2026-02-26,189024.90841989886,236.90841989885666,1,0
2026-02-27,195128.90841989886,236.90841989885666,1,0
2026-03-02,196872.90841989886,236.90841989885666,1,0
2026-03-03,179397.6026652509,302.6026652508881,1,0
2026-03-04,177901.32809134695,901.3280913469498,1,0
2026-03-05,192428.90362109095,160.9036210909544,1,0
2026-03-06,195301.12047944096,1176.1204794409568,1,0
2026-03-09,194934.476618797,394.47661879699444,1,0
2026-03-10,197774.476618797,394.47661879699444,1,0
2026-03-11,198200.602448105,56.602448104997166,1,0
2026-03-12,195473.75701759697,398.75701759697404,1,0
2026-03-13,191427.75701759697,398.75701759697404,1,0
2026-03-16,192005.75701759697,398.75701759697404,1,0
2026-03-17,186514.75701759697,398.75701759697404,1,0
2026-03-18,190271.75701759697,398.75701759697404,1,0
