w,mode,topn,ic_1d,ic_5d,net,maxdd,sharpe,fees,trades,remove_best5,H1,H2
0.0,plain,1,0.037846848761601125,0.05543138455522625,1.2334670382740582,-0.2731111329449014,1.8558574251408064,28927.498572596,322,0.366484844772631,1.0250547455662087,0.10291686837808278
0.0,plain,5,0.037846848761601125,0.05543138455522625,0.1479193664952385,-0.37214325755207833,0.5979817983345797,18349.529965669546,1306,-0.10931914936145126,0.551314350543892,-0.26003432760563505
0.0,gate,1,0.037846848761601125,0.05543138455522625,1.6056626656898558,-0.12396646991687787,2.4151743829721486,22580.816131016,264,0.6189390246414865,0.9924962737600291,0.30773778601488844
0.0,gate,5,0.037846848761601125,0.05543138455522625,0.4422033492889532,-0.16182964197423966,1.6353372545313756,14099.090686297546,1020,0.14141435029150284,0.47944482334391036,-0.025172600875227213
0.25,plain,1,0.039307508763637006,0.05737397989984891,1.1921184125333602,-0.31292227716145815,1.8668196240497716,30938.882146666,326,0.3711008970816423,1.0390346247565496,0.07507660042560005
0.25,plain,5,0.039307508763637006,0.05737397989984891,0.15905730853964672,-0.36468968389239476,0.6308917452965541,17741.268461228545,1260,-0.0858829182049261,0.5818994333102017,-0.26730025680945924
0.25,gate,1,0.039307508763637006,0.05737397989984891,1.8727690791659581,-0.23737608040752634,2.750484055669347,24131.916383406002,264,0.8020005343036878,1.0151385215188893,0.42559384801032896
0.25,gate,5,0.039307508763637006,0.05737397989984891,0.37400887500494373,-0.20032708512303343,1.467904480274915,13565.180014698546,990,0.11572628087853509,0.44807238656330095,-0.05114627710989761
0.5,plain,1,0.040208562509251,0.058708460229424636,0.5732157084028422,-0.3267831984798589,1.1806686635235932,24703.192959718002,322,-0.024554799899605517,0.6327351894318736,-0.03645384837313481
0.5,plain,5,0.040208562509251,0.058708460229424636,0.06329113474662451,-0.35353230283944637,0.3526328985966033,14808.996240530547,1162,-0.16457646459674002,0.35155682918859044,-0.21328418325926168
0.5,gate,1,0.040208562509251,0.058708460229424636,1.0140456441141157,-0.31591710235602755,1.9147041437939718,19271.81088859,256,0.2522118403692519,0.6305088561549324,0.2352252099161487
0.5,gate,5,0.040208562509251,0.058708460229424636,0.2534792952783118,-0.19318564676525773,1.072175075310921,11475.601687361546,916,0.012385472536421638,0.2708076250475493,-0.013635682874179489
0.75,plain,1,0.040530652194131725,0.05925506567842664,0.06410110202095254,-0.4202722950544544,0.36156675261951743,18867.861697906003,320,-0.3399225913445608,0.26164328486920674,-0.15657530556961918
0.75,plain,5,0.040530652194131725,0.05925506567842664,0.09155977731467901,-0.3329858810840579,0.44279879584696763,13656.569968533,1110,-0.11900944640394129,0.23571516787361446,-0.11665745821263496
0.75,gate,1,0.040530652194131725,0.05925506567842664,0.34667693329674854,-0.3599696882211373,0.9372196730836353,14180.823970326,246,-0.16217678090425536,0.2080951977365859,0.1147109398496089
0.75,gate,5,0.040530652194131725,0.05925506567842664,0.23078411871925542,-0.18085266118962562,1.0368494892355513,10517.824428075,874,0.027766721733082145,0.1525388105492933,0.06788952133652759
1.0,plain,1,0.040288050207035124,0.05905502993209748,-0.23646107643862557,-0.47024659514440037,-0.3473618614118925,15020.972843864001,312,-0.5259341992729907,-0.09971603955465136,-0.15189100649569465
1.0,plain,5,0.040288050207035124,0.05905502993209748,-0.16304117140520236,-0.3579045887297463,-0.46705156783767143,11677.214340521,1098,-0.33176692868213076,0.055965280980833754,-0.20739929269512725
1.0,gate,1,0.040288050207035124,0.05905502993209748,-0.052314132703729754,-0.3817865509938976,0.04027843894199064,11537.547070374001,234,-0.40051986352394087,-0.09042294133327244,0.04189728431080186
1.0,gate,5,0.040288050207035124,0.05905502993209748,-0.04722879201662433,-0.22094042920314783,-0.10005931405588848,9029.720901663,858,-0.21246112230213532,-0.0265091718938264,-0.02128383701683756
