factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
mfx_dc_pct_change,0.054330235609951066,4.068617383317461,8.0,8.0,0.23722657759500174
mfx_ths_pct_change,0.053184111049465126,4.148689585084373,8.0,8.0,0.14888267031266386
efx_free_turnover,-0.04830551247299672,-5.89005352728803,0.0,8.0,0.0
mfx_dc_pressure,0.04507681246058324,3.1892079148197348,8.0,8.0,0.28847361305464375
mfx_ths_pressure,0.043978854199979406,3.290694862309422,8.0,8.0,0.22141152655858906
efx_volume_ratio,-0.04201865509219904,-1.8815308479836728,0.0,8.0,0.39236288593079355
mfx_minute_weighted_pressure,0.04136954793904764,3.3897445751241535,8.0,8.0,0.20579826560396242
mfx_minute_pressure,0.04085861197876134,3.189628109823752,8.0,8.0,0.4816326137950891
efx_limit_streak,-0.04029842017664844,-3.7600207294459187,0.0,6.0,0.24615336642979255
mfx_tdx_pressure,0.039232416446730076,3.132222783614289,8.0,8.0,0.52161034736106
mfx_ths_gap,0.03734626772012,2.8555755223656867,8.0,8.0,0.24754374181417116
efx_top_turnover,-0.0356030854039704,-3.4630312731687605,0.0,8.0,0.2703899636099025
efx_limit_turnover,-0.033964365555781466,-3.5402289932125974,0.0,6.0,0.2079736235166877
mfx_index_gap,0.033877733277901695,2.0922785461669564,8.0,8.0,0.3507149745719991
efx_limit_win_fraction,0.03269140800105565,6.792680144827992,6.0,6.0,0.24075332965345797
efx_lu_seal_amount,-0.027838164316486565,-4.498859359408513,0.0,8.0,0.4599914658547031
mfx_dc_range,-0.027106705290605486,-1.1276992894692155,0.0,8.0,0.23340732457977978
efx_top_amount_rate,0.026804349488676722,4.615120039394943,8.0,8.0,0.770467526390795
efx_top_participation,0.0268041492839768,4.615998716846428,8.0,8.0,0.2803289365190023
mfx_ths_range,-0.02543931949537777,-1.095153878936848,1.0,8.0,0.19925019230961122
mfx_index_pressure,0.02496484819035271,1.664885691536174,8.0,8.0,0.8348423782202697
mfx_minute_amplitude,-0.024071409157782844,-1.0845570712114005,1.0,8.0,0.8928921971847273
mfx_dc_swing,-0.02400560567185133,-0.9787402818820172,1.0,8.0,0.2021629995892453
mfx_tdx_range,-0.022984805280427276,-1.0110662036070228,1.0,8.0,0.4599391274245604
