factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
open5_amt_log,-0.07986318763131378,-3.0574382161468434,0.0,8.0,0.42590050430250004
mfx_dc_pct_change,0.054396941865044665,4.042762641036025,8.0,8.0,0.2376996931391774
mfx_ths_pct_change,0.05324483068449754,4.125284552288875,8.0,8.0,0.15387705928552445
efx_free_turnover,-0.04872110043618256,-5.95731470026262,0.0,8.0,0.0
mfx_dc_pressure,0.045284443372861624,3.154570861996313,8.0,8.0,0.29427655722336393
mfx_ths_pressure,0.04418838506084928,3.2620486986680084,8.0,8.0,0.2516796788449923
efx_volume_ratio,-0.04161428324083116,-1.9110195104702752,0.0,8.0,0.4067941290162329
mfx_minute_weighted_pressure,0.04160074518630792,3.3218394027563787,8.0,8.0,0.2110054840386292
mfx_minute_pressure,0.041030765189837316,3.147575133806697,8.0,8.0,0.49456994157250955
efx_limit_streak,-0.04027181485143569,-3.7540353398791604,0.0,6.0,0.24816218933745035
mfx_tdx_pressure,0.039495449089145714,3.0900590846796665,8.0,8.0,0.52161034736106
mfx_ths_gap,0.037160187619423,2.8998680843133946,8.0,8.0,0.24754374181417116
efx_top_turnover,-0.035633234920716746,-3.4907124252008415,0.0,8.0,0.2754104699394988
efx_limit_turnover,-0.033917837089575804,-3.5321446548535387,0.0,6.0,0.21183669882993478
mfx_index_gap,0.03368731261402361,2.1028006789444396,8.0,8.0,0.35453892353017097
efx_limit_win_fraction,0.03333856037686397,8.952687313733561,6.0,6.0,0.2479858025617479
efx_lu_seal_amount,-0.027415529735646295,-4.297371704138191,0.0,8.0,0.4861289974403194
efx_top_amount_rate,0.02727535962106222,4.446186273583854,8.0,8.0,0.770467526390795
efx_top_participation,0.027275272369190032,4.446586361029325,8.0,8.0,0.2803289365190023
mfx_dc_range,-0.027000468582287176,-1.13471961953949,0.0,8.0,0.23669982120586402
mfx_ths_range,-0.025319526910034716,-1.103456433204823,1.0,8.0,0.20303035847857037
mfx_index_pressure,0.025252337420588307,1.7170946732890318,8.0,8.0,0.8348423782202697
mfx_minute_amplitude,-0.024033545209722607,-1.087116311733371,1.0,8.0,0.8928921971847273
mfx_dc_swing,-0.02388664907387375,-0.9847125699428597,1.0,8.0,0.20282691300908806
efx_lu_board_density,0.023388909994879553,2.9758436765592786,7.0,7.0,0.21035249580180349
mfx_tdx_range,-0.022839315893311903,-1.0205040257128744,1.0,8.0,0.4599391274245604
mfx_minute_realized_vol,-0.022477969433941983,-0.9456623614617798,1.0,8.0,0.4110092117975791
efx_limit_reseal_span,-0.021681625653635624,-1.584877535064705,0.0,6.0,0.2266294028783092
open5_amt_share,-0.021590912169890352,-3.6496678132168827,0.0,8.0,0.9726017489324026
efx_top_move,-0.019129911866508056,-1.5652289236281218,0.0,8.0,0.2409220883139591
mfx_ths_turnover_rate,-0.01864626922226114,-1.0241045385489487,1.0,8.0,0.4042422158002792
efx_annual_earnings_yield,0.01862197558360081,1.4667356453014873,7.0,8.0,0.47055623880176106
efx_top_float,-0.0183784735086026,-0.656580977680204,3.0,8.0,0.3303746541197665
mfx_dc_turnover_rate,-0.01715603595061552,-0.9784926208366082,1.0,8.0,0.2924855819008026
efx_lu_one_price,-0.01644854975400256,-1.61930692541398,0.0,8.0,0.3267740464631192
efx_annual_sales_yield,0.016083272155365785,1.1346447035287959,7.0,8.0,0.519808239481267
mfx_ths_volume,-0.014259961573101589,-0.5660249886936884,2.0,8.0,0.2581727152309433
mfx_dc_volume,-0.013663948169880242,-0.5817807677849063,1.0,8.0,0.4478120785930389
efx_limit_first,-0.013383525961573314,-0.9661427775457654,1.0,6.0,0.5881085238856641
efx_limit_signed_move,-0.013065371076621238,-0.6755131968198057,1.0,6.0,0.5019319459770194
efx_lu_seal_volume,-0.012924314643885845,-1.2965730507042015,0.0,8.0,0.3452945277722991
efx_seal_float,-0.012882456713035962,-0.7330292993561159,2.0,6.0,0.6285091397446418
mfx_index_range,-0.012836658558615925,-0.7158311749797418,3.0,8.0,0.47766835996861506
afx_bs_surplus_rese,0.012225373111981321,1.5950430187534264,8.0,8.0,0.6554922122164439
qf_core_roe_yoy_change,0.012184555598593756,1.2680910761648343,8.0,8.0,0.31306931178132824
afx_fi_surplus_rese_ps,0.011705442357262135,1.3382225734057656,8.0,8.0,0.16403564510209007
mfx_index_volume,-0.01166958403881309,-0.514369345530167,1.0,8.0,0.8695045415425537
qf_core_roe_vol_4q,0.011564080773026075,1.395457201271548,7.0,8.0,0.540651532736692
qf_roe_yoy_change,0.011365603661196703,0.9665659436965686,6.0,8.0,0.5127248068062185
qf_sales_growth_vol_4q,0.010981765674431706,1.1660080351243813,7.0,8.0,0.3106180183303822
mfx_tdx_volume,-0.010687657508128992,-0.48963740798374294,2.0,8.0,0.4223371607772875
efx_dragon_net_intensity,-0.010265486420293997,-1.0616208758996786,1.0,8.0,0.5164418495727675
afx_cf_oth_cashpay_ral_fnc_act,-0.010223715717512833,-1.5925875183562175,1.0,8.0,0.35621954899247216
qf_roa_yoy_change,0.010050066529294927,0.8516950883247895,5.0,8.0,0.44777956474675595
efx_dragon_ratio_balance,-0.00912987052542252,-0.9478517352735102,1.0,8.0,0.36243721315799765
efx_top_imbalance,-0.008923746364056273,-0.9280765056803921,1.0,8.0,0.3793127352858653
afx_bs_oth_rcv_total,-0.008908132166084052,-1.404071852710028,0.0,8.0,0.44165769273700717
mfx_tdx_amount,-0.008572852056526695,-0.44585209357421207,2.0,8.0,0.4453416524568285
mfx_dc_amount,-0.008443983191506244,-0.4466183289068665,2.0,8.0,0.4588647795978601
afx_bs_oth_pay_total,-0.008238622017839998,-0.9530194689259042,2.0,8.0,0.6277403124502565
afx_fi_tangible_asset,0.008006039943377313,1.5276020855639432,7.0,8.0,0.19617879135122476
mfx_index_amount,-0.00798242401443233,-0.44536982704536127,2.0,8.0,0.468474379218764
afx_fi_retained_earnings,0.007947351008888671,0.5860547889243273,6.0,8.0,0.36413626869394883
efx_limit_trade_share,0.00790055294740147,0.6026536257345161,5.0,6.0,0.24815863121451248
afx_bs_oth_payable,-0.007808179354595289,-1.0337162841429504,2.0,8.0,0.23630536957657752
